date,symbol,fee_usd_totals,fee_usd_exch,rev_usd_totals,rev_usd_exch,delta_fee_usd_totals,delta_fee_usd_exch,delta_rev_usd_totals,delta_rev_usd_exch,rn_totals,rn_exch,cv_totals,cv_exch
2025-01-15,Flash Trade,,11870.6,,8339.43,,6536.570000000001,,4590.08,,4.0,,#63b512
2025-01-15,Drift,,3995.3906289999995,,3995.3906289999995,,547.6520140000011,,547.6520140000011,,,,
2025-01-14,Total,791879.6385834513,,202971.55610711282,,-4298642.84382819,,-1139107.9799152974,,1.0,,#545cf8,
2025-01-14,Jupiter,,783097.8699684513,,195774.46749211283,,-4207338.12521719,,-1051834.5313042975,,,,
2025-01-14,Flash Trade,,5334.03,,3749.35,,-13619.300000000003,,-9588.029999999999,,4.0,,#63b512
2025-01-14,Drift,,3447.7386149999984,,3447.7386149999984,,-77685.41861099994,,-77685.41861099994,,,,
2025-01-13,Total,5090522.482411642,,1342079.5360224103,,4742985.296265433,,1251472.5106153581,,1.0,,#545cf8,
2025-01-13,Jupiter,,4990435.995185642,,1247608.9987964104,,4649086.727533433,,1162271.6818833582,,,,
2025-01-13,Drift,,81133.15722599994,,81133.15722599994,,78046.11873199994,,78046.11873199994,,,,
2025-01-13,Flash Trade,,18953.33,,13337.38,,15852.45,,11154.71,,4.0,,#63b512
2025-01-12,Total,347537.1861462089,,90607.02540705224,,-70287.2891051959,,-20030.61177004897,,1.0,,#545cf8,
2025-01-12,Jupiter,,341349.2676522089,,85337.31691305223,,-65348.44978019589,,-16337.112445048973,,,,
2025-01-12,Drift,,3087.0384940000004,,3087.0384940000004,,-715.479325000003,,-715.479325000003,,,,
2025-01-12,Flash Trade,,3100.88,,2182.67,,-4223.36,,-2978.0199999999995,,4.0,,#63b512
2025-01-11,Total,417824.4752514048,,110637.6371771012,,-414003.29082887503,,-105952.01933196875,,1.0,,#545cf8,
2025-01-11,Jupiter,,406697.7174324048,,101674.4293581012,,-410007.60199587507,,-102501.90049896877,,,,
2025-01-11,Flash Trade,,7324.24,,5160.69,,-1809.7399999999998,,-1264.17,,4.0,,#63b512
2025-01-11,Drift,,3802.5178190000033,,3802.5178190000033,,-2185.948832999996,,-2185.948832999996,,,,
2025-01-10,Total,831827.7660802798,,216589.65650906996,,-1377857.9568301393,,-357429.64849053486,,1.0,,#545cf8,
2025-01-10,Jupiter,,816705.3194282799,,204176.32985706997,,-1357666.9977861391,,-339416.7494465348,,,,
2025-01-10,Flash Trade,,9133.98,,6424.86,,-7472.850000000002,,-5294.79,,4.0,,#63b512
2025-01-10,Drift,,5988.466651999999,,5988.466651999999,,-12718.109044000015,,-12718.109044000015,,,,
2025-01-09,Total,2209685.722910419,,574019.3049996048,,220358.5125161463,,35074.74572978658,,1.0,,#545cf8,
2025-01-09,Jupiter,,2174372.317214419,,543593.0793036048,,248045.59571514628,,62011.39892878657,,,,
2025-01-09,Drift,,18706.575696000014,,18706.575696000014,,-23317.023198999974,,-23317.023198999974,,,,
2025-01-09,Flash Trade,,16606.83,,11719.65,,-4370.059999999998,,-3619.630000000001,,4.0,,#63b512
2025-01-08,Total,1989327.2103942728,,538944.5592698182,,1617950.7234621746,,418820.7486845437,,1.0,,#545cf8,
2025-01-08,Jupiter,,1926326.7214992729,,481581.6803748182,,1599635.4063701748,,399908.8515925437,,,,
2025-01-08,Drift,,42023.59889499999,,42023.59889499999,,18358.95709199997,,18358.95709199997,,,,
2025-01-08,Flash Trade,,20976.89,,15339.28,,-43.63999999999942,,552.9400000000005,,4.0,,#63b512
