date,category,symbol,label,vol_category,vol_market_symbol,vol_sub1,vol_sub2,vol_exch,vol_exch_sub,vol_hip3,oi_category,oi_market_symbol,oi_sub1,oi_sub2,oi_exch,oi_exch_sub,oi_hip3,tc_category,tc_market_symbol,tc_sub1,tc_sub2,tc_exch,tc_exch_sub,tc_hip3,lv_category,lv_market_symbol,lv_sub1,lv_sub2,lv_exch,lv_exch_sub,lv_hip3,lc_category,lc_market_symbol,lc_sub1,lc_sub2,lc_exch,lc_exch_sub,lc_hip3,tr_category,tr_market_symbol,tr_sub1,tr_sub2,tr_exch,tr_exch_sub,tr_hip3,avg_ts_category,avg_ts_market_symbol,avg_ts_sub1,avg_ts_sub2,avg_ts_exch,avg_ts_exch_sub,avg_ts_hip3,avg_ls_category,avg_ls_market_symbol,avg_ls_sub1,avg_ls_sub2,avg_ls_exch,avg_ls_exch_sub,avg_ls_hip3,rn_category,rn_market_symbol,rn_sub1,rn_sub2,rn_exch,rn_exch_sub,rn_hip3,cv_category,cv_market_symbol,cv_sub1,cv_sub2,cv_exch,cv_exch_sub,cv_hip3
2026-06-08,FX,_CHF,CHF,,57220875.869122036,,,,,,,21482354.027541693,,,,,,,3409.0,,,,,,,5489408.763675682,,,,,,,,,,,,,,2.6636222359877957,,,,,,,16785.23786128543,,,,,,,,,,,,,,3,,,,,,,#904ea6,,,,,
2026-06-08,FX,_JPY,JPY,,10269218.85960146,,,,,,,21410660.14635663,,,,,,,9861.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.4796311178358942,,,,,,,1041.3973085489768,,,,,,,,,,,,,,4,,,,,,,#63b512,,,,,
2026-06-08,FX,_GBP,GBP,,27805261.213797916,,,,,,,19698825.230146643,,,,,,,2531.0,,,,,,,0.0,,,,,,,,,,,,,,1.4115187524606982,,,,,,,10985.879578742755,,,,,,,,,,,,,,6,,,,,,,#00bfa5,,,,,
2026-06-08,FX,_CAD,CAD,,16894170.700727135,,,,,,,19441266.935448818,,,,,,,1340.0,,,,,,,0.0,,,,,,,,,,,,,,0.8689850695852872,,,,,,,12607.590075169504,,,,,,,,,,,,,,5,,,,,,,#f0384a,,,,,
2026-06-08,FX,_NZD,NZD,,68107898.89043698,,,,,,,17715811.62836243,,,,,,,3910.0,,,,,,,0.0,,,,,,,,,,,,,,3.8444695800105757,,,,,,,17418.899971978768,,,,,,,,,,,,,,7,,,,,,,#ef798a,,,,,
2026-06-08,FX,_MXN,MXN,,36258881.4679168,,,,,,,15693652.886985218,,,,,,,2543.0,,,,,,,0.0,,,,,,,,,,,,,,2.3104169391937024,,,,,,,14258.309660997562,,,,,,,,,,,,,,8,,,,,,,#4ebc90,,,,,
2026-06-08,FX,_CNH,CNH,,2416.274288,,,,,,,9532.854961,,,,,,,3.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.25346806364780067,,,,,,,805.4247626666667,,,,,,,,,,,,,,9,,,,,,,#8066e6,,,,,
2026-06-08,FX,__Developed Markets,Developed Markets,,,258554700.9344471,,,,,,,158896250.00584286,,,,,,,35681.0,,,,,,,5489408.763675682,,,,,,,0.0,,,,,,,1.6271919628370062,,,,,,,7246.285163937308,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,
2026-06-08,FX,__Emerging Markets,Emerging Markets,,,36261297.7422048,,,,,,,15703185.741946219,,,,,,,2546.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2.3091682374579525,,,,,,,14242.45787203645,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,
2026-06-08,FX,Major,,,,,258554700.93444708,,,,,,,158896250.0058429,,,,,,,35681.0,,,,,,,5489408.763675682,,,,,,,0.0,,,,,,,1.6271919628370057,,,,,,,7246.2851639373075,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,
2026-06-08,FX,Exotic,,,,,36261297.7422048,,,,,,,15703185.741946219,,,,,,,2546.0,,,,,,,0.0,,,,,,,0.0,,,,,,,2.3091682374579525,,,,,,,14242.45787203645,,,,,,,,,,,,,,2,,,,,,,#f79009,,,
2026-06-08,FX,GMTrade,,,,,,294629584.4215446,,,,,,,173499342.12782812,,,,,,,19906.0,,,,,,,5489408.763675682,,,,,,,,,,,,,,1.6981596633632885,,,,,,,14801.044128481091,,,,,,,,,,,,,,1,,,,,,,#545cf8,,
2026-06-08,FX,Pacifica,,,,,,161417.69585333334,,,,,,,1067452.17661,,,,,,,18315.0,,,,,,,,,,,,,,,,,,,,,0.15121773077081677,,,,,,,8.813415007007007,,,,,,,,,,,,,,2,,,,,,,#f79009,,
2026-06-08,FX,Flash Trade,,,,,,24996.559254,,,,,,,32641.443351,,,,,,,6.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.7657920939710592,,,,,,,4166.093209,,,,,,,,,,,,,,3,,,,,,,#904ea6,,
2026-06-08,FX,___GMTrade,GMTrade,,,,,,294629584.4215446,,,,,,,173499342.12782812,,,,,,,19906.0,,,,,,,5489408.763675682,,,,,,,,,,,,,,1.6981596633632885,,,,,,,14801.044128481091,,,,,,,,,,,,,,1,,,,,,,#545cf8,
2026-06-08,FX,___Pacifica,Pacifica,,,,,,161417.69585333334,,,,,,,1067452.17661,,,,,,,18315.0,,,,,,,,,,,,,,,,,,,,,0.15121773077081677,,,,,,,8.813415007007007,,,,,,,,,,,,,,2,,,,,,,#f79009,
2026-06-08,FX,___Flash Trade,Flash Trade,,,,,,24996.559254,,,,,,,32641.443351,,,,,,,6.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.7657920939710592,,,,,,,4166.093209,,,,,,,,,,,,,,3,,,,,,,#904ea6,
2026-06-07,FX,Total,,4186608.3920058473,,,,,,,60990517.727794684,,,,,,,17237.0,,,,,,,1892963.7636938677,,,,,,,0.0,,,,,,,0.06864359490586715,,,,,,,242.88497952113752,,,,,,,,,,,,,,1.0,,,,,,,#545cf8,,,,,,
2026-06-07,FX,_JPY,JPY,,56739.041208,,,,,,,13491150.729294445,,,,,,,8607.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.004205648750539704,,,,,,,6.592197189264552,,,,,,,,,,,,,,4,,,,,,,#63b512,,,,,
2026-06-07,FX,_AUD,AUD,,1465769.317757864,,,,,,,10512133.230050849,,,,,,,18.0,,,,,,,417660.62945786404,,,,,,,,,,,,,,0.13943595326281588,,,,,,,81431.62876432578,,,,,,,,,,,,,,1,,,,,,,#545cf8,,,,,
2026-06-07,FX,_EUR,EUR,,524549.4470532843,,,,,,,8340745.0590136675,,,,,,,8549.0,,,,,,,0.0,,,,,,,,,,,,,,0.06288999883606498,,,,,,,61.357988893822,,,,,,,,,,,,,,2,,,,,,,#f79009,,,,,
