date,currency,volumes,txs
2024-01-09,Other,1667.5514515769173,19
2024-01-09,USDC,93457.98641500004,79
2024-01-09,USDT,139051.2803172154,40
2024-01-10,GBPe,17.834936000000003,5
2024-01-10,Other,3791.1900287848894,14
2024-01-10,USDC,60273.97493775825,73
2024-01-10,USDT,642024.2324387233,594
2024-01-11,GBPe,25.476675289999996,19
2024-01-11,Other,6451.238545390609,18
2024-01-11,USDC,195869.53888355315,99
2024-01-11,USDT,686275.1739742132,1285
2024-01-12,EURe,55.131899,4
2024-01-12,GBPe,3.30984129,5
2024-01-12,Other,27147.712538191907,27
2024-01-12,USDC,189316.77510200004,103
2024-01-12,USDT,646607.0619538324,1035
2024-01-13,EURe,186.102936,8
2024-01-13,Other,598.005108824805,16
2024-01-13,USDC,60127.869046999986,74
2024-01-13,USDT,25556.464438248782,18
2024-01-14,EURe,51.31152,3
2024-01-14,Other,1164.4776097723823,14
2024-01-14,USDC,10482.507066,44
2024-01-14,USDT,302260.4498962795,319
2024-01-15,EURe,109.45240000000001,1
2024-01-15,GBPe,0.012735749999999999,1
2024-01-15,Other,423.4299757386827,13
2024-01-15,USDC,106576.19230499998,74
2024-01-15,USDT,563669.4333962268,284
2024-01-16,EURe,139.001119,2
2024-01-16,Other,1748.3098914803475,20
2024-01-16,USDC,85700.97970500002,96
2024-01-16,USDT,475899.6826624464,6242
2024-01-17,EURe,34.811392,1
2024-01-17,GBPe,5.282307800000001,3
2024-01-17,Other,31046.847760877103,63
2024-01-17,USDC,46648.4421673922,83
2024-01-17,USDT,464895.630274867,2708
2024-01-18,GBPe,184.53792444,6
2024-01-18,Other,5923.49618141555,19
2024-01-18,USDC,162966.16953299998,95
2024-01-18,USDT,354939.2125417078,318
2024-01-19,EURe,28.673305850000002,2
2024-01-19,GBPe,42.358383200000006,3
2024-01-19,Other,1955.4244824920745,21
2024-01-19,USDC,89778.81391199997,74
2024-01-19,USDT,338864.87367761915,214
2024-01-20,EURe,362.56471796999995,7
2024-01-20,Other,1416.916849317745,16
2024-01-20,USDC,204032.4337723108,87
2024-01-20,USDT,202583.6268048491,843
2024-01-21,EURe,111.12806523,4
2024-01-21,Other,25702.720327650895,18
2024-01-21,USDC,37305.323198,52
2024-01-21,USDT,407604.00520771666,280
2024-01-22,EURe,51.868084960000004,2
2024-01-22,Other,791.9988116726099,7
2024-01-22,USDC,40519.38254900658,63
2024-01-22,USDT,414464.2298488556,108
2024-01-23,Other,5660.810323140907,25
2024-01-23,USDC,185783.88406200008,83
2024-01-23,USDT,1025785.2047653341,2532
2024-01-24,EURe,92.0937391,6
2024-01-24,GBPe,24.240612199999998,4
2024-01-24,Other,1982.8324636550985,23
2024-01-24,USDC,91938.007278,54
2024-01-24,USDT,329744.7145493571,161
2024-01-25,EURe,46.789590000000004,1
2024-01-25,GBPe,11.687814430000003,19
2024-01-25,Other,5172.869887067739,21
2024-01-25,USDC,123438.0798814588,73
2024-01-25,USDT,482889.9075391768,160
2024-01-26,EURe,47.720772,1
2024-01-26,GBPe,15.197332800000002,2
2024-01-26,Other,23508.512630341265,21
2024-01-26,USDC,81830.06804501587,86
2024-01-26,USDT,711510.1150402139,425
2024-01-27,EURe,173.41532754,7
