date,chain,volumes,txs,users,new_users,returning_users,cumulative_users
2023-05-17,Arbitrum,7379.33462,6,1,0,1,3
2023-05-17,Avalanche,0.0,0,0,0,0,1
2023-05-17,Ethereum,1088.816951,1,1,0,1,3
2023-05-17,Gnosis,0.0,0,0,0,0,2
2023-05-17,Optimism,1410.05082,2,1,0,1,2
2023-05-17,Polygon,1820.835208,4,1,0,1,5
2023-05-18,Arbitrum,3398.396386,8,1,0,1,3
2023-05-18,Avalanche,5161.0,1,1,0,1,1
2023-05-18,Ethereum,1938.8024920000003,4,1,0,1,3
2023-05-18,Gnosis,0.0,0,0,0,0,2
2023-05-18,Optimism,181.318338,1,1,0,1,2
2023-05-18,Polygon,2433.503987,4,1,0,1,5
2023-05-19,Arbitrum,4439.346353,9,1,0,1,3
2023-05-19,Avalanche,0.0,0,0,0,0,1
2023-05-19,Ethereum,12406.80216,2,1,0,1,3
2023-05-19,Gnosis,215.370918,1,1,0,1,2
2023-05-19,Optimism,161.600431,1,1,0,1,2
2023-05-19,Polygon,2203.9697960000003,5,1,0,1,5
2023-05-20,Arbitrum,939.671568,3,1,0,1,3
2023-05-20,Avalanche,0.0,0,0,0,0,1
2023-05-20,Ethereum,4132.738053,4,1,0,1,3
2023-05-20,Gnosis,0.0,0,0,0,0,2
2023-05-20,Optimism,333.976422,2,1,0,1,2
2023-05-20,Polygon,972.2134329999999,4,1,0,1,5
2023-05-21,Arbitrum,629.8178310000001,5,1,0,1,3
2023-05-21,Avalanche,0.0,0,0,0,0,1
2023-05-21,Ethereum,4845.499002,3,1,0,1,3
2023-05-21,Gnosis,0.0,0,0,0,0,2
2023-05-21,Optimism,959.7513660000001,4,1,0,1,2
2023-05-21,Polygon,263.631323,1,1,0,1,5
2023-05-22,Arbitrum,13445.24445,11,1,0,1,3
2023-05-22,Avalanche,1725.9575,1,1,0,1,1
2023-05-22,Ethereum,446.625,1,1,0,1,3
2023-05-22,Gnosis,0.0,0,0,0,0,2
2023-05-22,Optimism,1131.526224,1,1,0,1,2
2023-05-22,Polygon,4467.217191,1,1,0,1,5
2023-05-23,Arbitrum,297.756792,2,1,0,1,3
2023-05-23,Avalanche,0.0,0,0,0,0,1
2023-05-23,Ethereum,1101.00292,2,1,0,1,3
2023-05-23,Gnosis,0.0,0,0,0,0,2
2023-05-23,Optimism,1189.37744,2,1,0,1,2
2023-05-23,Polygon,216.741897,1,1,0,1,5
2023-05-24,Arbitrum,3787.8353730000003,8,1,0,1,3
2023-05-24,Avalanche,261.804274,1,1,0,1,1
2023-05-24,Ethereum,5377.032257999999,2,1,0,1,3
2023-05-24,Gnosis,0.0,0,0,0,0,2
2023-05-24,Optimism,1860.620602,2,1,0,1,2
2023-05-24,Polygon,239.14713500000002,3,1,0,1,5
2023-05-25,Arbitrum,2057.931551,3,1,0,1,3
2023-05-25,Avalanche,0.0,0,0,0,0,1
2023-05-25,Ethereum,6882.28881,5,1,0,1,3
2023-05-25,Gnosis,0.0,0,0,0,0,2
2023-05-25,Optimism,6894.553129,4,1,0,1,2
2023-05-25,Polygon,87088.97117599999,6,2,0,2,5
2023-05-26,Arbitrum,3861.1706040000004,11,1,0,1,3
2023-05-26,Avalanche,1189.0564789999999,2,1,0,1,1
2023-05-26,Ethereum,12289.771056,5,1,0,1,3
2023-05-26,Gnosis,0.0,0,0,0,0,2
2023-05-26,Optimism,0.0,0,0,0,0,2
2023-05-26,Polygon,99.25,1,1,0,1,5
2023-05-27,Arbitrum,2474.1187019999998,6,1,0,1,3
2023-05-27,Avalanche,203.347049,1,1,0,1,1
2023-05-27,Ethereum,5319.491607,5,1,0,1,3
2023-05-27,Gnosis,0.0,0,0,0,0,2
2023-05-27,Optimism,3236.492537,3,1,0,1,2
2023-05-27,Polygon,0.0,0,0,0,0,5
2023-05-28,Arbitrum,1389.543616,2,1,0,1,3
2023-05-28,Avalanche,0.0,0,0,0,0,1
2023-05-28,Ethereum,647.090401,1,1,0,1,3
2023-05-28,Gnosis,0.0,0,0,0,0,2
2023-05-28,Optimism,0.0,0,0,0,0,2
2023-05-28,Polygon,767.2949619999999,3,1,0,1,5
2023-05-29,Arbitrum,2735.8692039999996,6,1,0,1,3
2023-05-29,Avalanche,0.0,0,0,0,0,1
2023-05-29,Ethereum,1513.516169,2,1,0,1,3
2023-05-29,Gnosis,0.0,0,0,0,0,2
2023-05-29,Optimism,321.603216,1,1,0,1,2
2023-05-29,Polygon,2304.176162,3,1,0,1,5
2023-05-30,Arbitrum,2125.048593,9,1,0,1,3
2023-05-30,Avalanche,21.520444,1,1,0,1,1
2023-05-30,Ethereum,2035.833963,1,1,0,1,3
2023-05-30,Gnosis,0.0,0,0,0,0,2
2023-05-30,Optimism,1911.974206,5,1,0,1,2
2023-05-30,Polygon,1033.1549229999998,6,1,0,1,5
2023-05-31,Arbitrum,2295.986935,7,1,0,1,3
2023-05-31,Avalanche,627.719476,1,1,0,1,1
2023-05-31,Ethereum,30490.178461,9,1,0,1,3
2023-05-31,Gnosis,20.417007,1,1,0,1,2
2023-05-31,Optimism,0.0,0,0,0,0,2
2023-05-31,Polygon,6891.600485999999,6,1,0,1,5
2023-06-01,Arbitrum,4168.7511110000005,9,1,0,1,3
2023-06-01,Avalanche,50.09292,1,1,0,1,1
2023-06-01,Ethereum,13642.893623000002,7,1,0,1,3
2023-06-01,Gnosis,0.0,0,0,0,0,2
2023-06-01,Optimism,185.195883,1,1,0,1,2
2023-06-01,Polygon,0.0,0,0,0,0,5
2023-06-02,Arbitrum,5038.886631999999,10,1,0,1,3
2023-06-02,Avalanche,90.56579,3,1,0,1,1
2023-06-02,Ethereum,936.949405,1,1,0,1,3
2023-06-02,Gnosis,0.0,0,0,0,0,2
